date,bet,bet_nature,match,statistics_name,statistic_role,statistic_number,coeff,kush,wdl
19.05.2022,3000,ord,Челси-Лестер,SoT,F2,2.5,2.23,0.28,l
19.05.2022,3000,ord,Утрехт-Витесе,YC,TU,4,1.75,0.22,l
21.05.2022,3000,ord,Реймс-Ница,Foul,TO1,9.5,2.64,0.36,l
21.05.2022,3000,ord,Ружомбирок-Середь,Corner,TU1,6.5,1.94,0.36,w
22.05.2022,3000,ord,Интер-Сапмдория,Shots,F2,14.5,1.65,0.3,l
22.05.2022,3000,ord,"Базель-Лугано, Копенгаген-Ольборг","Goal, Corner","TU, F2","4.5, 3,5",1.94,0.38,l
22.05.2022,3000,ord,"Челси-Уотфорд, Ливерпуль-Вульвергемптон","Corner, Corner","TO2, TO2","3.5, 2.5",7.33,0.3,l
24.05.2022,6000,ord,Бахри Ф – Люсия И,П1,П1,П1,2.4,0,l
24.05.2022,3000,ord,Риндеркнеш А – Бублик А,П1,П1,П1,4.7,0,l
24.05.2022,6000,ord,Канев К  – Овчаренко ,F1,F1,-4.5,1.95,0,l
24.05.2022,6000,ord,Тихонова А – Бранкаччо Н,П1,П1,П1,1.95,0,w
24.05.2022,6000,ord,Э.Питтман - К.Шен,П1,П1,П1,1.77,0,w
24.05.2022,6000,ord,Канада – Франция,SoT,TU2,18.5,1.99,0,l
24.05.2022,5271,ord,"Шейнин, Бэйли",П1,П1,П1,2.49,0,w
24.05.2022,729,ord,"Шейнин, Бэйли",П1,П1,П1,2.96,0,w
24.05.2022,2400,ord,Власселаер-Гомес,F1,F1,5.5,1.82,0,l
24.05.2022,637,ord,Власселаер-Гомес,F1,F1,5.5,1.97,0,l
24.05.2022,2963,ord,Власселаер-Гомес,F1,F1,5.5,1.66,0,l
24.05.2022,1500,ord,Фулана-Хошкоу,F1,F1,-6.5,1.89,0,l
24.05.2022,1500,ord,Фулана-Хошкоу,F1,F1,-6.5,1.99,0,l
24.05.2022,1500,ord,Фулана-Хошкоу,F1,F1,-6.5,1.83,0,l
24.05.2022,1564.69,ord,Фулана-Хошкоу,F1,F1,-6.5,1.81,0,l
24.05.2022,6000,ord,Далас-Уориз,TO,TO,213,1.7,0,w
25.05.2022,6000,ord,Б.Ван Де Зандсхульп - Ф.Фоньини ,П1,П1,П1,1.59,0,w
25.05.2022,2594.75,exp,"Б.Гойо – Ф.Краинович, М.Линетт – М.Тревизан, С.Корда – Р.Гаске, М.Осорио-Серрано – Д.Перри","П2, F2, F2, П1 ","П2, F2, F2, П1 ","П2, 1.5, 2.5, П1 ",3.42,0,l
26.05.2022,6000,ord,Качин П – Гастон У,П2,П2,П2,1.83,0,w
26.05.2022,6000,ord,Аль-Айн Абу-Даби – Аль-Шарджа,Foul,TU,27.5,2.03,0,w
26.05.2022,3000,ord,А.Корне – Е.Остапенко,П1,П1,П1,2.6,0,w
26.05.2022,6000,ord,Уорриорз-Даллас,F1,F1,-5.5,1.75,0,w
27.05.2022,6000,ord, М.Тревизан – Д.Сэвилл,П1,П1,П1,1.59,0,w
27.05.2022,6000,ord,Д.Син/С.Симунью – Д.Монахова/В.Шинде,F1,F1,-1.5,1.86,0,w
27.05.2022,6000,ord,Майами Хит - Бостон Селтикс,F2,F2,-6.5,1.66,0,l
27.05.2022,6000,ord,С.Викери - Э.Дуглас ,П1,П1,П1,1.89,0,w
28.05.2022,6000,ord,М.Кецманович - Д.Медведев ,П2,П2,П2,1.64,0,w
28.05.2022,6000.89,ord, Т.Ди Гиролами – Д.Павлоу,F1,F1,F1,1.95,0,l
28.05.2022,6000,ord,К.Джорджи – А.Соболенко,F2,F2,-4,1.94,0,l
28.05.2022,2000,ord,К.Эриксон – К.Ма,F1,F1,-3.5,1.833,0,w
28.05.2022,6000,ord,Нове Замки(жен) – Ружомберок(жен),Goal,TO,2.75,1.69,0,l
28.05.2022,6000,ord,Клуж-Напока – Волунтари,F1,F1,6.5,1.8,0,w
29.05.2022,6000,ord,Ливерпуль - Реал Мадрид ,Goal,TO,1.5,2.03,0,l
29.05.2022,6000,ord,Ливерпуль - Реал Мадрид ,Foul,TO,21.5,1.85,0,l
29.05.2022,2685,ord,М.Тревизан - А.Соснович ,П2,П2,П2,1.9,0,l
29.05.2022,6000,ord,Зверев А. - Сапата Миральес Б.,F2,F2,8.5,1.72,0,w
29.05.2022,6000,ord,Динамо М - Спартак М,Goal,TO,2,1.92,0,w
